,timestamp,close,volume
0,2023-01-01,16625.080078125,9244361700
1,2023-01-02,16688.470703125,12097775227
2,2023-01-03,16679.857421875,13903079207
3,2023-01-04,16863.23828125,18421743322
4,2023-01-05,16836.736328125,13692758566
5,2023-01-06,16951.96875,14413662913
6,2023-01-07,16955.078125,7714767174
7,2023-01-08,17091.14453125,9768827914
8,2023-01-09,17196.5546875,18624736866
9,2023-01-10,17446.29296875,15808338949
10,2023-01-11,17934.896484375,18372283782
11,2023-01-12,18869.587890625,34971338710
12,2023-01-13,19909.57421875,29225029694
13,2023-01-14,20976.298828125,38967784639
14,2023-01-15,20880.798828125,19298407543
15,2023-01-16,21169.6328125,26792494050
16,2023-01-17,21161.51953125,24999983362
17,2023-01-18,20688.78125,30005625418
18,2023-01-19,21086.79296875,21152848261
19,2023-01-20,22676.552734375,28799154319
20,2023-01-21,22777.625,32442278429
21,2023-01-22,22720.416015625,24746386230
22,2023-01-23,22934.431640625,26518700512
23,2023-01-24,22636.46875,26405069715
24,2023-01-25,23117.859375,30685366709
25,2023-01-26,23032.77734375,26357839322
26,2023-01-27,23078.728515625,25383335641
27,2023-01-28,23031.08984375,14712928379
28,2023-01-29,23774.56640625,27423687259
29,2023-01-30,22840.138671875,27205595568
30,2023-01-31,23139.283203125,22837828665
31,2023-02-01,23723.76953125,26683255504
32,2023-02-02,23471.87109375,32066936882
33,2023-02-03,23449.322265625,27083066007
34,2023-02-04,23331.84765625,15639298538
35,2023-02-05,22955.666015625,19564262605
36,2023-02-06,22760.109375,23825006542
37,2023-02-07,23264.291015625,27187964471
38,2023-02-08,22939.3984375,25371367758
39,2023-02-09,21819.0390625,32572572185
40,2023-02-10,21651.18359375,27078406594
41,2023-02-11,21870.875,16356226232
42,2023-02-12,21788.203125,17821046406
43,2023-02-13,21808.1015625,23918742607
44,2023-02-14,22220.8046875,26792596581
45,2023-02-15,24307.841796875,32483312909
46,2023-02-16,23623.474609375,39316664596
47,2023-02-17,24565.6015625,41358451255
48,2023-02-18,24641.27734375,19625427158
49,2023-02-19,24327.642578125,25555105670
50,2023-02-20,24829.1484375,28987376573
51,2023-02-21,24436.353515625,31252098714
52,2023-02-22,24188.84375,30199996781
53,2023-02-23,23947.4921875,30476264066
54,2023-02-24,23198.126953125,26811744928
55,2023-02-25,23175.375,16100721565
56,2023-02-26,23561.212890625,16644534842
57,2023-02-27,23522.87109375,22660763494
58,2023-02-28,23147.353515625,20535363434
